Rank,Municipality,State,2000 Population,1990 Population,Change in Population
1,New York city,New York,8008278,7322564,9.40%
2,Los Angeles city,California,3694820,3485398,6.00%
3,Chicago city,Illinois,2896016,2783726,4.00%
4,Houston city,Texas,1953631,1630553,19.80%
5,Philadelphia city,Pennsylvania,1517550,1585577,-4.30%
6,Phoenix city,Arizona,1321045,983403,34.30%
7,San Diego city,California,1223400,1110549,10.20%
8,Dallas city,Texas,1188580,1006877,18.00%
9,San Antonio city,Texas,1144646,935933,22.30%
10,Detroit city,Michigan,951270,1027974,-7.50%
11,San Jose city,California,894943,782248,14.40%
12,Indianapolis city,Indiana,781870,731327,6.90%
13,San Francisco city,California,776733,723959,7.30%
14,Jacksonville city FL,Florida,735617,635230,15.80%
15,Columbus city OH,Ohio,711470,632910,12.40%
16,Austin city,Texas,656562,465622,41.00%
17,Baltimore city,Maryland,651154,736014,-11.50%
18,Memphis city,Tennessee,650100,610337,6.50%
19,Milwaukee city,Wisconsin,596974,628088,-5.00%
20,Boston city,Massachusetts,589141,574283,2.60%
21,Washington city,DC,572059,606900,-5.70%
22,El Paso city,Texas,563662,515342,9.40%
23,Seattle city,Washington,563374,516259,9.10%
24,Denver city,Colorado,554636,467610,18.60%
25,Nashville-Davidson,Tennessee,545524,488374,11.70%
26,Charlotte city,North Carolina,540828,395934,36.60%
27,Fort Worth city,Texas,534694,447619,19.50%
28,Portland city OR,Oregon,529121,437319,21.00%
29,Oklahoma City city,Oklahoma,506132,444719,13.80%
30,Tucson city,Arizona,486699,405390,20.10%
31,New Orleans city,Louisiana,484674,496938,-2.50%
32,Las Vegas city,Nevada,478434,258295,85.20%
33,Cleveland city,Ohio,478403,505616,-5.40%
34,Long Beach city,California,461522,429433,7.50%
35,Albuquerque city,New Mexico,448607,384736,16.60%
36,Kansas City city MO,Missouri,441545,435146,1.50%
37,Fresno city,California,427652,354202,20.70%
38,Virginia Beach city,Virginia,425257,393069,8.20%
39,Atlanta city,Georgia,416474,394017,5.70%
40,Sacramento city,California,407018,369365,10.20%
41,Oakland city,California,399484,372242,7.30%
42,Mesa city,Arizona,396375,288091,37.60%
43,Tulsa city,Oklahoma,393049,367302,7.00%
44,Omaha city,Nebraska,390007,335795,16.10%
45,Minneapolis city,Minnesota,382618,368383,3.90%
46,Miami city,Florida,362470,358548,1.10%
47,Colorado Springs city,Colorado,360890,281140,28.40%
48,St. Louis city,Missouri,348189,396685,-12.20%
49,Wichita city,Kansas,344284,304011,13.20%
50,Santa Ana city,California,337977,293742,15.10%
51,Pittsburgh city,Pennsylvania,334563,369879,-9.50%
52,Arlington city,Texas,332969,261721,27.20%
53,Cincinnati city,Ohio,331285,364040,-9.00%
54,Anaheim city,California,328014,266406,23.10%
55,Toledo city,Ohio,313619,332943,-5.80%
56,Tampa city,Florida,303447,280015,8.40%
57,Buffalo city,New York,292648,328123,-10.80%
58,St. Paul city,Minnesota,287151,272235,5.50%
59,Corpus Christi city,Texas,277454,257453,7.80%
60,Aurora CO city,Colorado,276393,222103,24.40%
61,Raleigh city,North Carolina,276093,207951,32.80%
62,Newark city,New Jersey,273546,275221,-0.60%
63,Lexington-Fayette,Kentucky,260512,225366,15.60%
64,Anchorage city,Alaska,260283,226338,15.00%
65,Louisville city,Kentucky,256231,269063,-4.80%
66,Riverside city,California,255166,226505,12.70%
67,St. Petersburg city,Florida,248232,238629,4.00%
68,Bakersfield city,California,247057,174820,41.30%
69,Stockton city,California,243771,210943,15.60%
70,Birmingham city,Alabama,242820,265968,-8.70%
71,Jersey City city,New Jersey,240055,228537,5.00%
72,Norfolk city,Virginia,234403,261229,-10.30%
73,Baton Rouge city,Louisiana,227818,219531,3.80%
74,Hialeah city,Florida,226419,188004,20.40%
75,Lincoln city,Nebraska,225581,191972,17.50%
76,Greensboro city,North Carolina,223891,183521,22.00%
77,Plano city,Texas,222030,128713,72.50%
78,Rochester city NY,New York,219773,231636,-5.10%
79,Glendale city AZ,Arizona,218812,148134,47.70%
80,Akron city,Ohio,217074,223019,-2.70%
81,Garland city,Texas,215768,180650,19.40%
82,Madison city,Wisconsin,208054,191262,8.80%
83,Fort Wayne city,Indiana,205727,173072,18.90%
84,Fremont city,California,203413,173339,17.30%
85,Scottsdale city,Arizona,202705,130069,55.80%
86,Montgomery city,Alabama,201568,187106,7.70%
87,Shreveport city,Louisiana,200145,198525,0.80%
88,Lubbock city,Texas,199564,186206,7.20%
89,Chesapeake city,Virginia,199184,151976,31.10%
90,Mobile city,Alabama,198915,196278,1.30%
91,Des Moines city,Iowa,198682,193187,2.80%
92,Grand Rapids city,Michigan,197800,189126,4.60%
93,Richmond city VA,Virginia,197790,203056,-2.60%
94,Yonkers city,New York,196086,188082,4.30%
95,Spokane city,Washington,195629,177196,10.40%
96,Augusta city,Georgia,195182,44639,337.20%
97,Glendale city CA,California,194973,180038,8.30%
98,Tacoma city,Washington,193556,176664,9.60%
99,Irving city,Texas,191615,155037,23.60%
100,Huntington Beach city,California,189594,181519,4.40%
101,Modesto city,California,188856,164730,14.60%
102,Durham city,North Carolina,187035,136611,36.90%
103,Orlando city,Florida,185951,164693,12.90%
104,Boise City city,Idaho,185787,125738,47.80%
105,Columbus city GA,Georgia,185781,178681,4.00%
106,Winston-Salem city,North Carolina,185776,143485,29.50%
107,San Bernardino city,California,185401,164164,12.90%
108,Jackson city MS,Mississippi,184256,196637,-6.30%
109,Little Rock city,Arkansas,183133,175795,4.20%
110,Salt Lake City city,Utah,181743,159936,13.60%
111,Reno city,Nevada,180480,133850,34.80%
112,Newport News city,Virginia,180150,170045,5.90%
113,Chandler city,Arizona,176581,90533,95.00%
114,Laredo city,Texas,176576,122899,43.70%
115,Henderson city,Nevada,175381,64942,170.10%
116,Knoxville city,Tennessee,173890,165121,5.30%
117,Amarillo city,Texas,173627,157615,10.20%
118,Providence city,Rhode Island,173618,160728,8.00%
119,Chula Vista city,California,173556,135163,28.40%
120,Worcester city,Massachusetts,172648,169759,1.70%
121,Oxnard city,California,170358,142216,19.80%
122,Dayton city,Ohio,166179,182044,-8.70%
123,Garden Grove city,California,165196,143050,15.50%
124,Oceanside city,California,161029,128398,25.40%
125,Tempe city,Arizona,158625,141865,11.80%
126,Huntsville city,Alabama,158216,159789,-1.00%
127,Ontario city,California,158007,133179,18.60%
128,Chattanooga city,Tennessee,155554,152466,2.00%
129,Fort Lauderdale city,Florida,152397,149377,2.00%
130,Springfield city MA,Massachusetts,152082,156983,-3.10%
131,Springfield city MO,Missouri,151580,140494,7.90%
132,Santa Clarita city,California,151088,110642,36.60%
133,Salinas city,California,151060,108777,38.90%
134,Tallahassee city,Florida,150624,124773,20.70%
135,Rockford city,Illinois,150115,139426,7.70%
136,Pomona city,California,149473,131723,13.50%
137,Paterson city,New Jersey,149222,140891,5.90%
138,Overland Park city,Kansas,149080,111790,33.40%
139,Santa Rosa city,California,147595,113313,30.30%
140,Syracuse city,New York,147306,163860,-10.10%
141,Kansas City city KS,Kansas,146866,149767,-1.90%
142,Hampton city,Virginia,146437,133793,9.50%
143,Lakewood city CO,Colorado,144126,126481,14.00%
144,Vancouver city,Washington,143560,46380,209.50%
145,Irvine city,California,143072,110330,29.70%
146,Aurora IL city,Illinois,142990,99581,43.60%
147,Moreno Valley city,California,142381,118779,19.90%
148,Pasadena city TX,Texas,141674,119363,18.70%
149,Hayward city,California,140030,111498,25.60%
150,Brownsville city,Texas,139722,98962,41.20%
151,Bridgeport city,Connecticut,139529,141686,-1.50%
152,Hollywood city,Florida,139357,121697,14.50%
153,Warren city,Michigan,138247,144864,-4.60%
154,Torrance city,California,137946,133107,3.60%
155,Eugene city,Oregon,137893,112669,22.40%
156,Pembroke Pines city,Florida,137427,65452,110.00%
157,Salem city,Oregon,136924,107786,27.00%
158,Pasadena city CA,California,133936,131591,1.80%
159,Escondido city,California,133559,108635,22.90%
160,Sunnyvale city,California,131760,117229,12.40%
161,Savannah city,Georgia,131510,137560,-4.40%
162,Fontana city,California,128929,87535,47.30%
163,Orange city,California,128821,110658,16.40%
164,Naperville city,Illinois,128358,85351,50.40%
165,Alexandria city,Virginia,128283,111183,15.40%
166,Rancho Cucamonga city,California,127743,101409,26.00%
167,Grand Prairie city,Texas,127427,99616,27.90%
168,Fullerton city,California,126003,114144,10.40%
169,Corona city,California,124966,76095,64.20%
170,Flint city,Michigan,124943,140761,-11.20%
171,Mesquite city,Texas,124523,101484,22.70%
172,Sterling Heights city,Michigan,124471,117810,5.70%
173,Sioux Falls city,South Dakota,123975,100814,23.00%
174,New Haven city,Connecticut,123626,130474,-5.20%
175,Topeka city,Kansas,122377,119883,2.10%
176,Concord city CA,California,121780,111348,9.40%
177,Evansville city,Indiana,121582,126272,-3.70%
178,Hartford city,Connecticut,121578,139739,-13.00%
179,Fayetteville city NC,North Carolina,121015,75695,59.90%
180,Cedar Rapids city,Iowa,120758,108751,11.00%
181,Elizabeth city,New Jersey,120568,110002,9.60%
182,Lansing city,Michigan,119128,127321,-6.40%
183,Lancaster city CA,California,118718,97291,22.00%
184,Fort Collins city,Colorado,118652,87758,35.20%
185,Coral Springs city,Florida,117549,79443,48.00%
186,Stamford city,Connecticut,117083,108056,8.40%
187,Thousand Oaks city,California,117005,104352,12.10%
188,Vallejo city,California,116760,109199,6.90%
189,Palmdale city,California,116670,68842,69.50%
190,Columbia city SC,South Carolina,116278,98052,18.60%
191,El Monte city,California,115965,106209,9.20%
192,Abilene city,Texas,115930,106654,8.70%
193,North Las Vegas city,Nevada,115488,47707,142.10%
194,Ann Arbor city,Michigan,114024,109592,4.00%
195,Beaumont city,Texas,113866,114323,-0.40%
196,Waco city,Texas,113726,103590,9.80%
197,Independence city,Missouri,113288,112301,0.90%
198,Peoria city IL,Illinois,112936,113504,-0.50%
199,Inglewood city,California,112580,109602,2.70%
200,Springfield city IL,Illinois,111454,105227,5.90%
201,Simi Valley city,California,111351,100217,11.10%
202,Lafayette city LA,Louisiana,110257,94440,16.70%
203,Gilbert town,Arizona,109697,29188,275.80%
204,Carrollton city,Texas,109576,82169,33.40%
205,Bellevue city,Washington,109569,86874,26.10%
206,West Valley City city,Utah,108896,86976,25.20%
207,Clearwater city,Florida,108787,98784,10.10%
208,Costa Mesa city,California,108724,96357,12.80%
209,Peoria city AZ,Arizona,108364,50618,114.10%
210,South Bend city,Indiana,107789,105511,2.20%
211,Downey city,California,107323,91444,17.40%
212,Waterbury city,Connecticut,107271,108961,-1.60%
213,Manchester city,New Hampshire,107006,99567,7.50%
214,Allentown city,Pennsylvania,106632,105090,1.50%
215,McAllen city,Texas,106414,84021,26.70%
216,Joliet city,Illinois,106221,76836,38.20%
217,Lowell city,Massachusetts,105167,103439,1.70%
218,Provo city,Utah,105166,86835,21.10%
219,West Covina city,California,105080,96086,9.40%
