Rank,Author,Total New Downloads
1,"Fernandez, Pablo",139046
2,"Jensen, Michael C.",66341
3,"Jackson, Matthew O.",41335
4,"Faber, Mebane T.",37648
5,"Damodaran, Aswath",35219
6,"Harvey, Campbell R.",33425
7,"Mialon, Hugo M.",32213
8,"Fama, Eugene F.",32086
9,"Sunstein, Cass R.",31994
10,"Bartlett, Bruce",31951
11,"Francis, Andrew M.",31652
12,"Moskowitz, Tobias J.",27825
13,"Meucci, Attilio",27733
14,"French, Kenneth R.",26521
15,"Asness, Clifford S.",23805
16,"Erhard, Werner",22985
17,"Frazzini, Andrea",20820
18,"Israel, Ronen",20399
19,"Fernández Acín, Isabel",18859
20,"Lopez de Prado, Marcos",18535
21,"Solove, Daniel J.",17832
22,"Pfau, Wade D.",16972
23,"Kahan, Dan M.",16793
24,"Pedersen, Lasse H.",16442
25,"Flyvbjerg, Bent",16083
26,"Lemley, Mark A.",15928
27,"Linares, Pablo",15765
28,"Roche, Cullen O.",15731
29,"Graham, John R.",14468
30,"Antonacci, Gary",14245
31,"Kaufmann, Daniel",14121
32,"Bebchuk, Lucian A.",13561
33,"boyd, danah",13391
34,"Kraay, Aart",13215
35,"Mascareñas, Juan",12988
36,"Kerr, Orin S.",12965
37,"Velez-Pareja, Ignacio",12734
38,"Ang, Andrew",12701
39,"Granger, Kari L.",12424
40,"Serafeim, George",12356
41,"Leiter, Brian",11522
42,"Mollick, Ethan R.",11238
43,"Liu, Yan",11010
44,"Black, Bernard S.",10814
45,"Zaffron, Steve",10793
46,"Gasser, Urs",10756
47,"Mastruzzi, Massimo",10707
48,"Bruner, Robert F.",10626
49,"Zhou, Guofu",10003
50,"Lo, Andrew W.",9910
51,"Weyl, E. G.",9829
52,"Ramakrishnan, Dr.",9658
53,"Xu, Yiqing",9625
54,"Taleb, Nassim N.",9162
55,"Posner, Eric A.",9131
56,"Schwienbacher, Armin",9091
57,"Bilello, Charles V.",8991
58,"Gayed, Michael A.",8991
59,"Aguirreamalloa, Javier",8980
60,"Miceli, Maria-Augusta",8939
61,"Larcker, David F.",8913
62,"Metrick, Andrew",8878
63,"Crawford, Kate",8859
64,"Leuz, Christian",8786
65,"Renneboog, Luc",8755
66,"Cremers, Martijn",8720
67,"Cumming, Douglas J.",8685
68,"Reich, Justin",8649
69,"Guerra-Pujol, Enrique",8637
70,"Roach, Kent",8555
71,"Meckling, William H.",8489
72,"McGee, Robert W.",8410
73,"Ortiz Pizarro, Alberto",8322
74,"Evans, David S.",8251
75,"Ball, Ray",8179
76,"Chuang, Isaac",8169
77,"Coates, IV, John C.",8150
78,"Gorton, Gary B.",8143
79,"Waldron, Jeremy",8101
80,"Ho, Andrew D.",8095
81,"Hirshleifer, David A.",7998
82,"Ramsay, Ian",7995
83,"Gino, Francesca",7858
84,"Pan, Jennifer",7841
85,"Stulz, René M.",7543
86,"Freeman, R. E.",7513
87,"Forcese, Craig",7505
88,"Bainbridge, Stephen M.",7495
89,"Wu, Tim",7393
90,"Ljungqvist, Alexander",7338
91,"Edmans, Alex",7308
92,"Vermeule, Adrian",7304
93,"Avi-Yonah, Reuven S.",7284
94,"Hovenkamp, Herbert J.",7188
95,"Ricciardi, Victor",7182
96,"Cheffins, Brian R.",7165
97,"Bailey, David H.",7159
98,"Goetzmann, William N.",7108
99,"Roncalli, Thierry",7063
100,"Berk, Jonathan B.",7061
101,"Demirgüç-Kunt, Asli",6898
102,"Brophy, Alfred L.",6894
103,"Murphy, Kevin J.",6861
104,"Wils, Wouter P.",6824
105,"Brynjolfsson, Erik",6751
106,"Kotsemir, Maxim N.",6737
107,"Koijen, Ralph S.",6712
108,"Armour, John",6683
109,"Suleymanov, Elchin",6670
110,"Whited, Toni M.",6643
111,"Thaler, Richard H.",6564
112,"Titman, Sheridan",6559
113,"Lebovits, Gerald",6526
114,"Kakushadze, Zura",6520
115,"Slovic, Paul",6491
116,"Kaplan, Steven N.",6425
117,"Moore, Adam D.",6402
118,"Faff, Robert W.",6331
119,"Zervas, Georgios",6317
120,"Sloan, Richard G.",6311
121,"Richardson, Scott A.",6271
122,"Meissner, Dirk",6218
123,"Gulati, G. M.",6198
124,"van Binsbergen, Jules H.",6191
125,"Acharya, Viral V.",6189
126,"Levit, Nancy",6179
127,"Simonsohn, Uri",6157
128,"Richards, Neil M.",6115
129,"Shachmurove, Yochanan",6113
130,"Geradin, Damien",6090
131,"Braman, Donald",6086
132,"Simmons, Joseph P.",6074
133,"Tian, Xuan",6054
134,"Raz, Joseph",6044
135,"Milkman, Katherine L.",5996
136,"Schmitt, Michael N.",5994
137,"Barth, Mary E.",5991
138,"Levine, Ross E.",5949
139,"Rostron, Allen K.",5911
140,"Avendaño, Luis C.",5897
141,"Hong, Harrison G.",5804
142,"Vermeulen, Erik P.",5773
143,"Jenkinson, Tim",5772
144,"Greenleaf, Graham",5741
145,"Keller, Wouter J.",5740
146,"Skinner, Douglas J.",5717
147,"Cont, Rama",5715
148,"Erb, Claude B.",5682
149,"Sequeira, A. H.",5647
150,"Masulis, Ronald W.",5634
151,"Craig, Paul P.",5631
152,"Rouwenhorst, K. Geert",5611
153,"Kleinbard, Edward D.",5597
154,"Friedman, Hershey H.",5596
155,"Kraakman, Reinier H.",5585
156,"Sufi, Amir",5577
157,"Smith, Michael D.",5539
158,"Dimson, Elroy",5515
159,"Boettke, Peter J.",5465
160,"Penman, Stephen H.",5447
161,"Hopt, Klaus J.",5426
162,"Hansmann, Henry",5383
163,"Roberts, Michael R.",5366
164,"Walker, Christopher J.",5361
165,"Zhu, Qiji J.",5351
166,"Leal-Arcas, Rafael",5349
167,"Engle, Robert F.",5343
168,"Blitz, David",5330
169,"Strine , Leo E.",5304
170,"Dash, Mihir",5293
171,"Yu, Peter K.",5293
172,"Ale Ebrahim, Nader",5275
173,"Butler, Adam",5271
174,"Ghose, Anindya",5266
175,"Welch, Ivo",5265
176,"Kothari, S.P.",5204
177,"Brav, Alon",5183
178,"Coffee, John C.",5139
179,"Ioannou, Ioannis",5128
180,"Proserpio, Davide",5123
181,"Kumar, Alok",5100
182,"Shaffer, Gregory C.",5099
183,"Gatheral, Jim",5087
184,"Edelman, Marc",5077
185,"Nelson, Leif D.",5063
186,"Hoofnagle, Chris J.",5033
187,"Reynolds, Glenn H.",5029
188,"Gompers, Paul A.",5012
189,"Mian, Atif R.",5003
190,"Alemanno, Alberto",4989
191,"Jiang, Wei",4930
192,"Tucker, Catherine",4927
193,"Landsman, Wayne R.",4908
194,"Acemoglu, Daron",4907
195,"Munir, Muhammad",4902
196,"Byers, John",4890
197,"Lott, John R.",4845
198,"Shevlin, Terry J.",4820
